City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Atuona,PF,-9.8,-139.0333,78.87,76,53,17.4,broken clouds
80,Vardo,NO,70.3705,31.1107,27.7,74,99,21.41,light snow
81,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,13.8,few clouds
82,Gobabis,NA,-22.45,18.9667,66.0,49,67,8.52,broken clouds
83,Hualmay,PE,-11.0964,-77.6139,69.12,81,85,9.24,overcast clouds
84,Alofi,NU,-19.0595,-169.9187,84.09,79,71,11.5,broken clouds
85,Nicoya,CR,10.1483,-85.452,84.4,65,100,1.48,overcast clouds
86,San Cristobal,VE,7.7669,-72.225,77.18,77,81,5.1,broken clouds
87,Umm Kaddadah,SD,13.6017,26.6876,82.09,13,17,6.26,few clouds
88,Longyearbyen,SJ,78.2186,15.6401,10.24,56,20,5.75,few clouds
89,Flin Flon,CA,54.7682,-101.865,49.84,53,40,4.61,scattered clouds
90,Nadym,RU,65.5333,72.5167,14.43,85,7,11.45,clear sky
91,Mwinilunga,ZM,-11.7358,24.4293,65.17,75,98,3.18,overcast clouds
92,Milkovo,RU,54.7167,158.6167,33.17,77,89,3.6,overcast clouds
93,Kuminskiy,RU,58.6667,66.5667,29.44,81,9,2.71,clear sky
94,Buchanan,LR,5.8808,-10.0467,81.61,83,91,8.75,overcast clouds
95,Lebu,CL,-37.6167,-73.65,50.61,70,73,19.37,broken clouds
96,Tiarei,PF,-17.5333,-149.3333,86.02,75,14,21.09,light rain
97,Tura,IN,25.5198,90.2201,68.25,85,0,3.47,clear sky
98,Cabo San Lucas,MX,22.8909,-109.9124,90.61,48,4,13.78,clear sky
99,Svetlaya,RU,46.5389,138.3297,40.77,64,4,3.98,clear sky
100,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,82,40,15.03,scattered clouds
101,Chopan,IN,24.5167,83.0333,85.66,15,10,5.28,clear sky
102,Ancud,CL,-41.8697,-73.8203,46.29,73,100,2.8,overcast clouds
103,Porto Walter,BR,-8.2686,-72.7439,76.44,95,100,1.52,overcast clouds
104,Barrow,US,71.2906,-156.7887,12.22,79,100,18.41,overcast clouds
105,Hithadhoo,MV,-0.6,73.0833,84.6,73,70,9.01,broken clouds
106,Luderitz,NA,-26.6481,15.1594,56.39,75,0,11.54,clear sky
107,Tasiilaq,GL,65.6145,-37.6368,28.56,88,76,8.5,broken clouds
108,Onega,RU,63.9061,38.1404,23.81,90,24,5.26,few clouds
109,Burgeo,CA,47.6167,-57.6152,41.47,91,100,5.39,overcast clouds
110,Ossora,RU,59.2353,163.0719,31.95,80,13,6.15,few clouds
111,Pandan,PH,14.0453,124.1694,78.94,85,66,6.24,broken clouds
112,Lithakia,GR,37.7167,20.8333,60.17,66,92,10.47,overcast clouds
113,Hilo,US,19.7297,-155.09,80.33,76,75,8.05,broken clouds
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,82,4,6.58,clear sky
115,Lorengau,PG,-2.0226,147.2712,81.41,80,79,1.43,broken clouds
116,Srednekolymsk,RU,67.45,153.6833,14.67,89,98,2.1,overcast clouds
117,Honningsvag,NO,70.9821,25.9704,28.15,80,40,13.8,scattered clouds
118,Pirkkala,FI,61.4613,23.6323,30.38,64,0,2.3,clear sky
