City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hilo,US,2022-04-25 20:25:06,19.7297,-155.09,80.28,79,100,8.05
68,Dudinka,RU,2022-04-25 20:25:06,69.4058,86.1778,2.62,98,100,6.31
69,Puerto Ayora,EC,2022-04-25 20:25:07,-0.7393,-90.3518,76.96,77,80,11.97
70,Fortuna,US,2022-04-25 20:23:37,40.5982,-124.1573,62.92,84,100,8.05
71,Kamaishi,JP,2022-04-25 20:25:07,39.2667,141.8833,55.06,91,100,9.57
72,Hermanus,ZA,2022-04-25 20:25:08,-34.4187,19.2345,51.8,71,0,5.37
73,Meulaboh,ID,2022-04-25 20:23:40,4.1363,96.1285,76.14,91,100,2.19
74,Otradnoye,RU,2022-04-25 20:25:08,59.7775,30.8181,41.88,97,100,4.88
75,Caronport,CA,2022-04-25 20:25:09,50.4501,-105.8179,46.6,42,94,12.8
76,Roma,US,2022-04-25 20:21:36,43.2128,-75.4557,77.58,33,0,13.8
77,Durant,US,2022-04-25 20:25:09,33.994,-96.3708,68.16,46,0,12.66
78,Tuktoyaktuk,CA,2022-04-25 20:25:10,69.4541,-133.0374,19.4,86,20,3.44
79,Luanda,AO,2022-04-25 20:21:11,-8.8368,13.2343,76.55,85,86,8.97
80,Aklavik,CA,2022-04-25 20:25:10,68.2191,-135.0107,33.21,100,100,4.07
81,Henties Bay,NA,2022-04-25 20:25:11,-22.116,14.2845,63.07,67,0,7.56
82,Gawler,AU,2022-04-25 20:25:11,-34.6,138.7333,66.24,76,100,6.96
83,Vaini,TO,2022-04-25 20:23:51,-21.2,-175.2,73.56,88,75,11.5
84,Lavrentiya,RU,2022-04-25 20:25:12,65.5833,-171.0,22.64,83,97,7.27
85,Lafia,NG,2022-04-25 20:25:12,8.4833,8.5167,87.66,50,48,3.31
86,Qesarya,IL,2022-04-25 20:25:12,32.5189,34.9046,67.96,77,0,7.11
87,Malpe,IN,2022-04-25 20:25:13,13.35,74.7167,79.9,82,99,4.36
88,Severo-Kurilsk,RU,2022-04-25 20:23:33,50.6789,156.125,32.14,85,100,19.84
89,Kavieng,PG,2022-04-25 20:24:26,-2.5744,150.7967,81.09,78,92,10.78
90,Port Alfred,ZA,2022-04-25 20:22:45,-33.5906,26.891,56.17,91,30,3.0
91,Abu Kamal,SY,2022-04-25 20:24:10,34.4506,40.9171,77.86,26,3,5.59
92,Hithadhoo,MV,2022-04-25 20:23:12,-0.6,73.0833,83.48,75,69,6.98
93,Qaanaaq,GL,2022-04-25 20:22:50,77.484,-69.3632,11.3,71,71,5.28
94,Mareeba,AU,2022-04-25 20:26:14,-17.0,145.4333,70.45,97,92,2.19
95,Faanui,PF,2022-04-25 20:25:18,-16.4833,-151.75,81.37,72,6,8.93
96,San Carlos De Bariloche,AR,2022-04-25 20:26:14,-41.1456,-71.3082,44.35,65,40,27.63
97,Longyearbyen,SJ,2022-04-25 20:25:09,78.2186,15.6401,3.04,60,75,13.8
